Familia profesional,Código QP,Cualificación Profesional,Nivel,Código Certificado,Certificado Profesional,Código y certificado
Imagen Personal,IMP023_3,Hidrotermal,3,IMPP0308,Hidrotermal,IMPP0308 Hidrotermal
Imagen Personal,IMP118_1,Servicios auxiliares de estética,1,IMPE0108,Servicios auxiliares de estética,IMPE0108 Servicios auxiliares de estética
Imagen Personal,IMP119_2,Peluquería,2,IMPQ0208,Peluquería,IMPQ0208 Peluquería
Imagen Personal,IMP120_2,"Servicios estéticos de higiene, depilación y maquillaje",2,IMPP0208,"Servicios estéticos de higiene, depilación y maquillaje","IMPP0208 Servicios estéticos de higiene, depilación y maquillaje"
Imagen Personal,IMP121_2,Cuidados estéticos de manos y pies,2,IMPP0108,Cuidados estéticos de manos y pies,IMPP0108 Cuidados estéticos de manos y pies
Imagen Personal,IMP182_3,"Bronceado, maquillaje y depilación avanzada",3,IMPE0109,"Bronceado, maquillaje y depilación avanzada","IMPE0109 Bronceado, maquillaje y depilación avanzada"
Imagen Personal,IMP248_3,Masajes estéticos y técnicas sensoriales asociadas,3,IMPE0110,Masajes estéticos y técnicas sensoriales asociadas,IMPE0110 Masajes estéticos y técnicas sensoriales asociadas
Imagen Personal,IMP249_3,Peluquería técnico-artística,3,IMPQ0109,Peluquería técnico-artística,IMPQ0109 Peluquería técnico-artística
Imagen Personal,IMP250_3,Tratamientos estéticos,3,IMPE0210,Tratamientos estéticos,IMPE0210 Tratamientos estéticos
Imagen Personal,IMP395_3,Asesoría integral de imagen personal,3,IMPE0111,Asesoría integral de imagen personal,IMPE0111 Asesoría integral de imagen personal
Imagen Personal,IMP396_3,Caracterización de personajes,3,IMPE0211,Caracterización de personajes,IMPE0211 Caracterización de personajes
Imagen Personal,IMP397_3,Tratamientos capilares estéticos,3,IMPQ0308,Tratamientos capilares estéticos,IMPQ0308 Tratamientos capilares estéticos
Imagen y Sonido,IMS074_3,Asistencia a la producción en televisión,3,IMSV0208,Asistencia a la producción en televisión,IMSV0208 Asistencia a la producción en televisión
Imagen y Sonido,IMS075_3,Luminotecnia para el espectáculo en vivo,3,IMSE0109,Luminotecnia para el espectáculo en vivo,IMSE0109 Luminotecnia para el espectáculo en vivo
Imagen y Sonido,IMS077_3,Asistencia a la realización en televisión,3,IMSD0108,Asistencia a la realización en televisión,IMSD0108 Asistencia a la realización en televisión
Imagen y Sonido,IMS220_3,Asistencia a la dirección cinematográfica y de obras audiovisuales ,3,IMSV0408,Asistencia a la dirección cinematográfica y de obras audiovisuales,IMSV0408 Asistencia a la dirección cinematográfica y de obras audiovisuales
Imagen y Sonido,IMS221_3,Asistencia a la producción cinematográfica y de obras audiovisuales ,3,IMSV0108,Asistencia a la producción cinematográfica y de obras audiovisuales,IMSV0108 Asistencia a la producción cinematográfica y de obras audiovisuales
Imagen y Sonido,IMS294_3,"Cámara de cine, vídeo y televisión",3,IMSV0308,"Cámara de cine, vídeo y televisión","IMSV0308 Cámara de cine, vídeo y televisión"
Imagen y Sonido,IMS295_3,Desarrollo de productos audiovisuales multimedia interactivos,3,IMSV0209,Desarrollo de productos audiovisuales multimedia interactivos,IMSV0209 Desarrollo de productos audiovisuales multimedia interactivos
Imagen y Sonido,IMS296_3,Montaje y postproducción de audiovisuales,3,IMSV0109,Montaje y postproducción de audiovisuales,IMSV0109 Montaje y postproducción de audiovisuales
Imagen y Sonido,IMS434_2,Animación musical y visual en vivo y en directo,2,IMSE0111,Animación musical y visual en vivo y en directo,IMSE0111 Animación musical y visual en vivo y en directo
Imagen y Sonido,IMS435_2,Operaciones de producción de laboratorio de imagen,2,IMST0110,Operaciones de producción de laboratorio de imagen,IMST0110 Operaciones de producción de laboratorio de imagen
Imagen y Sonido,IMS440_3,Producción en laboratorio de imagen,3,IMST0210,Producción en laboratorio de imagen,IMST0210 Producción en laboratorio de imagen
Imagen y Sonido,IMS441_3,Producción fotográfica,3,IMST0109,Producción fotográfica,IMST0109 Producción fotográfica
Industrias Alimentarias,INA012_2,Quesería,2,INAE0109,Quesería,INAE0109 Quesería
Industrias Alimentarias,INA013_2,Obtención de aceites de oliva,2,INAK0109,Obtención de aceites de oliva,INAK0109 Obtención de aceites de oliva
Industrias Alimentarias,INA015_2,Panadería y bollería,2,INAF0108,Panadería y bollería,INAF0108 Panadería y bollería
Industrias Alimentarias,INA016_3,Enotecnia,3,INAH0209,Enotecnia ,INAH0209 Enotecnia 
Industrias Alimentarias,INA107_2,Pastelería y confitería,2,INAF0109,Pastelería y confitería,INAF0109 Pastelería y confitería
