Familia profesional,Código QP,Cualificación profesional,Código y cualificación,Nivel
Hostelería y Turismo,HOT336_3,Promoción turística local e información al visitante,HOT336_3 Promoción turística local e información al visitante,3
Hostelería y Turismo,HOT337_3,"Vinos, otras bebidas y productos selectos propios de sumillería","HOT337_3 Vinos, otras bebidas y productos selectos propios de sumillería",3
Hostelería y Turismo,HOT680_3,Gestión de procesos en servicios de restauración,HOT680_3 Gestión de procesos en servicios de restauración,3
Hostelería y Turismo,HOT772_3,Gestión de productos turísticos,HOT772_3 Gestión de productos turísticos,3
Imagen Personal,IMP022_1,Servicios auxiliares de peluquería,IMP022_1 Servicios auxiliares de peluquería,1
Imagen Personal,IMP118_1,Servicios auxiliares de estética,IMP118_1 Servicios auxiliares de estética,1
Imagen Personal,IMP119_2,Peluquería,IMP119_2 Peluquería,2
Imagen Personal,IMP120_2,"Servicios estéticos de higiene, depilación y maquillaje","IMP120_2 Servicios estéticos de higiene, depilación y maquillaje",2
Imagen Personal,IMP121_2,Cuidados estéticos de manos y pies,IMP121_2 Cuidados estéticos de manos y pies,2
Imagen Personal,IMP023_3,Hidrotermal,IMP023_3 Hidrotermal,3
Imagen Personal,IMP182_3,"Bronceado, maquillaje y depilación avanzada","IMP182_3 Bronceado, maquillaje y depilación avanzada",3
Imagen Personal,IMP248_3,Masajes estéticos y técnicas sensoriales asociadas,IMP248_3 Masajes estéticos y técnicas sensoriales asociadas,3
Imagen Personal,IMP249_3,Peluquería técnico-artística,IMP249_3 Peluquería técnico-artística,3
Imagen Personal,IMP250_3,Tratamientos estéticos,IMP250_3 Tratamientos estéticos,3
Imagen Personal,IMP395_3,Asesoría integral de imagen personal,IMP395_3 Asesoría integral de imagen personal,3
Imagen Personal,IMP396_3,Caracterización de personajes,IMP396_3 Caracterización de personajes,3
Imagen Personal,IMP397_3,Tratamientos capilares estéticos,IMP397_3 Tratamientos capilares estéticos,3
Imagen Personal,IMP799_3,Micropigmentación,IMP799_3 Micropigmentación,3
Imagen y Sonido,IMS434_2,Animación musical y visual en vivo y en directo,IMS434_2 Animación musical y visual en vivo y en directo,2
Imagen y Sonido,IMS435_2,Operaciones de producción de laboratorio de imagen,IMS435_2 Operaciones de producción de laboratorio de imagen,2
Imagen y Sonido,IMS436_2,Operaciones de sonido,IMS436_2 Operaciones de sonido,2
Imagen y Sonido,IMS074_3,Asistencia a la producción en televisión,IMS074_3 Asistencia a la producción en televisión,3
Imagen y Sonido,IMS075_3,Luminotecnia para el espectáculo en vivo,IMS075_3 Luminotecnia para el espectáculo en vivo,3
Imagen y Sonido,IMS076_3,Animación 2D Y 3D,IMS076_3 Animación 2D Y 3D,3
Imagen y Sonido,IMS077_3,Asistencia a la realización en televisión,IMS077_3 Asistencia a la realización en televisión,3
Imagen y Sonido,IMS220_3,Asistencia a la dirección cinematográfica y de obras audiovisuales,IMS220_3 Asistencia a la dirección cinematográfica y de obras audiovisuales,3
Imagen y Sonido,IMS221_3,Asistencia a la producción cinematográfica y de obras audiovisuales,IMS221_3 Asistencia a la producción cinematográfica y de obras audiovisuales,3
Imagen y Sonido,IMS294_3,"Cámara de cine, vídeo y televisión","IMS294_3 Cámara de cine, vídeo y televisión",3
Imagen y Sonido,IMS295_3,Desarrollo de productos audiovisuales multimedia interactivos,IMS295_3 Desarrollo de productos audiovisuales multimedia interactivos,3
Imagen y Sonido,IMS296_3,Montaje y postproducción de audiovisuales,IMS296_3 Montaje y postproducción de audiovisuales,3
Imagen y Sonido,IMS437_3,Asistencia a la producción de espectáculos en vivo y eventos,IMS437_3 Asistencia a la producción de espectáculos en vivo y eventos,3
Imagen y Sonido,IMS438_3,"Desarrollo de proyectos y control de sonido en audiovisuales, radio e industria discográfica","IMS438_3 Desarrollo de proyectos y control de sonido en audiovisuales, radio e industria discográfica",3
Imagen y Sonido,IMS439_3,Desarrollo de proyectos y control de sonido en vivo y en instalaciones fijas,IMS439_3 Desarrollo de proyectos y control de sonido en vivo y en instalaciones fijas,3
Imagen y Sonido,IMS440_3,Producción en laboratorio de imagen,IMS440_3 Producción en laboratorio de imagen,3
Imagen y Sonido,IMS441_3,Producción fotográfica,IMS441_3 Producción fotográfica,3
Imagen y Sonido,IMS442_3,Regiduría de espectáculos en vivo y eventos,IMS442_3 Regiduría de espectáculos en vivo y eventos,3
